;;创天网络有限公司原版1.45
1/2        金币 1000
1/10       遗物  
1/20000      银马铠碎片
1/200000     仙风神袍（男）
1/200000     仙风神袍（女）
1/200000     阴阳圣衣（男）
1/200000     阴阳圣衣（女）
1/200000     麒麟宝铠（男）
1/200000     麒麟宝铠（女）
1/200000     正义之物
1/200000     智慧之物
1/200000     节制之物
1/200000     决断之物 
1/600000    十方斩         
1/600000    斗转星移    
1/600000    乾坤大挪移  
1/600000    移花接玉  
1/600000    魄冰刺
1/600000    怒神霹雳 
1/2000000    祝福油
1/2000000    鲜花
1/2000000    焰天火雨     
1/2000000    妙影无踪
1/1    铁布杉
1/8000000    破血狂杀
1/8000000    凝离魂
1/8000000    阴阳法环
1/15000000   生锈转轮项链
1/15000000   生锈转轮手镯
1/15000000   生锈转轮戒指
1/15000000   生锈天丛项链
1/15000000   生锈天丛手镯
1/15000000   生锈天丛戒指
1/15000000   生锈狂战戒指
1/15000000   生锈狂战手镯
1/15000000   生锈狂战项链
;1/200000  神勇之物 

