;;创天网络有限公司原版1.45
1/2        金币 2000
1/4       遗物  
1/20000     银马铠碎片
1/200000     仙风神袍（男）
1/200000     仙风神袍（女）
1/200000     阴阳圣衣（男）
1/200000     阴阳圣衣（女）
1/200000     麒麟宝铠（男）
1/200000     麒麟宝铠（女）
1/200000     正义之物
1/200000     智慧之物
1/200000     节制之物
1/200000     决断之物 
1/1000000    十方斩         
1/1000000    斗转星移    
1/1000000    乾坤大挪移  
1/1000000    移花接玉  
1/1000000    魄冰刺
1/1000000    怒神霹雳 
1/2000000    祝福油
1/2000000    鲜花
1/2000000    焰天火雨     
1/2000000    妙影无踪
1/10000000   铁布杉
1/10000000   破血狂杀
1/10000000   凝血离魂
1/1000000   阴阳法环
1/1000000   生锈转轮项链
1/1500000   生锈转轮手镯
1/1500000   生锈转轮戒指
1/1500000   生锈天丛项链
1/1500000   生锈天丛手镯
1/1500000   生锈天丛戒指
1/1   生锈狂战戒指
1/1000000   生锈狂战手镯
1/1500000   生锈狂战项链
;1/2000000  神勇之物 

