;;创天网络有限公司原版1.45
1/2       金币 400
1/4       遗物
1/10      万年雪霜 
1/100     金马铠碎片
1/5000    地洞之眼
1/5000    黑皮靴子
1/5000    月光鞋
1/5000    行者帽
1/5000    霸龙头盔
1/5000    黑铁头盔 
1/5000    正义之物
1/5000    智慧之物
1/5000    节制之物
1/5000    决断之物
1/5000    祝福油  
1/10000   十方斩         
1/10000   斗转星移    
1/10000   乾坤大挪移  
1/10000   移花接玉  
1/10000   魄冰刺
1/10000   怒神霹雳
1/10000   仙风神袍（男）
1/10000   仙风神袍（女）
1/10000   阴阳圣衣（男）
1/10000   阴阳圣衣（女）
1/10000   麒麟宝铠（男）
1/10000   麒麟宝铠（女）
1/50000   鲜花
1/50000   云寂术
1/100000  焰天火雨     
1/100000  妙影无踪
1/120000  铁布杉
1/120000  破血狂杀
1/120000  阴阳法环
1/120000  凝血离魂
1/120000  骨玉权杖
1/120000  无极棍
1/120000  封魔剑	
1/120000  飞魂魔刃	
1/120000  旋风流星刀
1/280000   生锈旭日项链
1/280000   生锈至善项链
1/280000   生锈云龙项链
1/280000   生锈至善戒指
1/280000   生锈旭日戒指
1/280000   生锈云龙戒指 
1/280000   生锈旭日手镯 
1/280000   生锈云龙手镯 
1/280000   生锈至善手镯 
1/10000000 神勇之物 
