2016-11-27 19:34:53.83 server    Microsoft SQL Server  2000 - 8.00.2039 (Intel X86) 
	May  3 2005 23:18:38 
	Copyright (c) 1988-2003 Microsoft Corporation
	Enterprise Edition on Windows NT 5.2 (Build 3790: Service Pack 2)

2016-11-27 19:34:53.87 server    Copyright (C) 1988-2002 Microsoft Corporation.
2016-11-27 19:34:53.87 server    保留所有权利。
2016-11-27 19:34:53.87 server    服务器进程 ID 是 2960。
2016-11-27 19:34:53.87 server    将 SQL Server 消息记录在文件“D:\Mud3\Gsql\Log\SQL日志.Log”中。
2016-11-27 19:34:53.90 server    SQL Server 正在以优先级“normal”（已检测到 1 CPU）启动。
2016-11-27 19:34:54.35 server    已为 thread 模式处理而配置了 SQL Server。
2016-11-27 19:34:54.37 server    使用 dynamic 锁分配。[2500] 锁块，[5000] 锁所有者块。
2016-11-27 19:34:54.44 server    尝试初始化分布式事务处理协调器。
2016-11-27 19:34:56.91 spid3     启动数据库“master”。
2016-11-27 19:34:57.12 spid3     0 个事务在数据库“master”中后滚 (1)。
2016-11-27 19:34:57.13 spid3     恢复操作正在对数据库 'master'（1）执行检查点操作。
2016-11-27 19:34:57.26 server    正在使用“SSNETLIB.DLL”版本“8.0.2039”。
2016-11-27 19:34:57.26 spid5     启动数据库“model”。
2016-11-27 19:34:57.27 spid3     服务器名称是“iZhn6ss22e6di3Z”。
2016-11-27 19:34:57.27 spid8     启动数据库“msdb”。
2016-11-27 19:34:57.27 spid9     启动数据库“Account”。
2016-11-27 19:34:57.29 spid10    启动数据库“game3g”。
2016-11-27 19:34:57.29 spid11    启动数据库“hero3g”。
2016-11-27 19:34:57.40 server    SQL Server 正在监听 120.24.191.9: 1433。
2016-11-27 19:34:57.40 server    SQL Server 正在监听 10.169.230.47: 1433。
2016-11-27 19:34:57.40 server    SQL Server 正在监听 169.254.25.129: 1433。
2016-11-27 19:34:57.40 server    SQL Server 正在监听 127.0.0.1: 1433。
2016-11-27 19:34:57.43 spid11    前滚了 26 个事务（在数据库 'hero3g'（7）中。
2016-11-27 19:34:57.43 spid11    回滚了 0 个事务（在数据库 'hero3g'（7）中。
2016-11-27 19:34:57.44 spid11    恢复操作正在对数据库 'hero3g'（7）执行检查点操作。
2016-11-27 19:34:57.49 spid5     清除 tempdb 数据库。
2016-11-27 19:34:57.54 server    SQL Server 正在监听 TCP, Shared Memory, Named Pipes。
2016-11-27 19:34:57.54 server    SQL Server 已准备好进行客户端连接
2016-11-27 19:34:57.60 spid10    前滚了 57 个事务（在数据库 'game3g'（6）中。
2016-11-27 19:34:57.62 spid10    回滚了 0 个事务（在数据库 'game3g'（6）中。
2016-11-27 19:34:57.63 spid10    恢复操作正在对数据库 'game3g'（6）执行检查点操作。
2016-11-27 19:34:58.18 spid5     启动数据库“tempdb”。
2016-11-27 19:34:58.41 spid9     前滚了 20 个事务（在数据库 'Account'（5）中。
2016-11-27 19:34:58.46 spid9     回滚了 0 个事务（在数据库 'Account'（5）中。
2016-11-27 19:34:58.46 spid9     恢复操作正在对数据库 'Account'（5）执行检查点操作。
2016-11-27 19:35:38.55 spid3     恢复完成。
2016-11-28 20:31:40.08 spid72    使用 'xpstar.dll' 版本 '2000.80.2039' 来执行扩展存储过程 'sp_MSgetversion'。
