小二:	!~没一个都没,,,
萌太奇:	!~
老倪:	!~那个级别的?
萌太奇:	!~小号 要什么好 戒指
人生如梦:	@休息
紫霞:	!~都行
紫霞:	!~心魔什么的还有不
紫霞:	!~结婚戒指要好看点才行
至尊宝:	@包马
老倪:	给你个心魔
人生如梦:	@休息
老倪:	@包马
人生如梦:	@休息
萌太奇:	!~诺玛 杀了没? 我想戴血花
至尊宝:	嘿嘿
至尊宝:	@骑马
至尊宝:	我去结婚了
老倪:	!~我准备去
老倪:	@骑马
至尊宝:	!~好的
百撕不得骑姐:	!~小牛三还有去的不
百撕不得骑姐:	@骑马
紫霞:	@骑马
wrewrwr:	@日志
老倪:	!~你们这些傻子
老倪:	!~现在有传送圣链卖
老倪:	!~直接任意传好友
紫霞:	!~。。。我忘记了
wrewrwr:	@日志
老倪:	@日志2
百撕不得骑姐:	!~有没有骑士手.给两
萌太奇:	!~传送圣连?
老倪:	!~我刚卖商店
至尊宝:	是
紫霞:	是
老倪:	!~对特殊道具店20万一个
萌太奇:	!~怎么 搞?
老倪:	!~问鸭子
老倪:	!~我刚看到 就是不知道是永久道具还是只能用一次
老倪:	@包马
紫霞:	@骑马
老倪:	@复活回城
紫霞:	!~老倪
紫霞:	!~诺玛？
萌太奇:	!~才 20W  估计 是 一次性的
紫霞:	!~老倪，走去诺玛，打完去打要是
萌太奇:	!~好  我去 杀龙 和 骷髅
老倪:	!~我都到诺玛4了
9527:	@复活回城
紫霞:	!!9527在哪里
9527:	!
萌太奇:	@骑马
老倪:	!~安全的3下4
老倪:	@骑马
百撕不得骑姐:	@骑马
紫霞:	!~走吧
紫霞:	!~我在4了
紫霞:	!~别跟我说你打完了
老倪:	!~我在你后面
老倪:	!!来
紫霞:	!~
老倪:	风
老倪:	没有
紫霞:	。。。
老倪:	妖精打了?
萌太奇:	@卡位自救
紫霞:	什么情况
紫霞:	不可能啊
紫霞:	他都没上来玩
老倪:	我算下时间
紫霞:	@日志
老倪:	@日志
老倪:	晕
老倪:	还有一个小时
紫霞:	我嘞个去
老倪:	算错时间
紫霞:	蛋疼
紫霞:	!~那现在？
紫霞:	现在干嘛
老倪:	!~我错了
老倪:	!~休息下被
紫霞:	那咱休息下
紫霞:	好的
老倪:	@日志
老倪:	@休息
百撕不得骑姐:	!~我打任务,200个皮
老倪:	/紫霞 11点17分
至尊宝:	@骑马
萌太奇:	!~任务奖励低没必要做
人生如梦:	我去
百撕不得骑姐:	!~反正没事干
人生如梦:	@日志2
至尊宝:	@攻击方式
萌太奇:	@骑马
萌太奇:	@包马
萌太奇:	@骑马
老倪:	@日志2
人生如梦:	w
人生如梦:	我曹 下线宝宝变0级了 搞几把
老倪:	/人生如梦 ?
人生如梦:	/老倪 100W
老倪:	/人生如梦 来拿
人生如梦:	再不来 算利息了啊
魔力虾:	/人生如梦 宝宝 不需要升级  死了直接 小退 又是一个宝宝
老倪:	@日志2
人生如梦:	我想带到7  看看效果
老倪:	可厉害了
砍死算求:	@日志2
魔力虾:	对  7级 宝宝 可厉害了 能打好几个 稻草人
魔力虾:	@包马
至尊宝:	@骑马
魔力虾:	....
萌太奇:	@骑马
人生如梦:	?
魔力虾:	女侠 反应敏捷
萌太奇:	!~骷髅教主 我最烦的 BOSS  没有 之一
人生如梦:	@日志2
百撕不得骑姐:	@日志4
百撕不得骑姐:	!~
百撕不得骑姐:	!~
至尊宝:	@骑马
至尊宝:	@包马
紫霞:	@骑马
紫霞:	@日志2
萌太奇:	!~艹艹艹
百撕不得骑姐:	!~..
萌太奇:	!~妈的  骷髅教主 
百撕不得骑姐:	!~不是在是间吗
萌太奇:	!~?
百撕不得骑姐:	@骑马
萌太奇:	!~找个 骷髅教主 累死了
百撕不得骑姐:	!~不在中间吗.没有固定
百撕不得骑姐:	!~那找起来好累
萌太奇:	@卡位自救
人生如梦:	/紫霞 
紫霞:	/人生如梦 
人生如梦:	/紫霞 如个会 加经验呢
紫霞:	@添加成员
萌太奇:	@卡位自救
萌太奇:	@卡位自救
人生如梦:	!~  我也是醉了 下个线经验减少好多啊
人生如梦:	!~  感觉要重新玩个号 一直不下线 经验一直都是5倍
萌太奇:	!~ni xia你想多了
人生如梦:	!~  现在只提升2倍了
无上青莲:	@骑马
人生如梦:	!~  不能愉快地玩耍了
萌太奇:	@骑马
无上青莲:	@包马
人生如梦:	!~  周末重新建个号  找人带一天不下线  直接到50级 哇卡卡
萌太奇:	@包马
紫霞:	/老倪 
百撕不得骑姐:	!~我35级了鞋都没有.
紫霞:	/老倪 9527在哪里
人生如梦:	!~  你现在经验提升多少倍?
老倪:	/紫霞 3下4
百撕不得骑姐:	!~我5倍
人生如梦:	!~  你一直没下线过?
百撕不得骑姐:	!~我新人啊
人生如梦:	!~  你35级了还新人呢 我去
人生如梦:	!~ 要不你下线试试  哈哈
百撕不得骑姐:	!~等级不到前10都是5倍
老倪:	/紫霞 链子20万用一次?
人生如梦:	!~  你下线试试嘛
紫霞:	/老倪 真他娘的贵
人生如梦:	!~　你不要打我
百撕不得骑姐:	!~5倍啊,下了
老倪:	卡
紫霞:	。。
人生如梦:	!~  快马加鞭 当前经验值提升2倍
人生如梦:	!~  我24级 
百撕不得骑姐:	!~打一个怪2160.一直都这样
人生如梦:	!~  啥怪?
百撕不得骑姐:	!~猪
百撕不得骑姐:	!~它这的经验本来就比光通减半了
老倪:	@复活回城
百撕不得骑姐:	!~35-36光通是480W的.这里240
紫霞:	/老倪 我到了
萌太奇:	@骑马
人生如梦:	!~  你看右上角显示的
百撕不得骑姐:	!~反正是2160
百撕不得骑姐:	!~没下线也是这样,下线了没变
人生如梦:	!~ 武器修炼值多少?
萌太奇:	!~告诉你了 你想多了
萌太奇:	!~新手 状态
萌太奇:	!~升级就缩减的
人生如梦:	!~  你杀猪的武器修炼值多少?
百撕不得骑姐:	!~一直是72
萌太奇:	!~没有 你想的 不下线 就一只几倍几倍
紫霞:	!!能进不
老倪:	/紫霞 能
紫霞:	@日志
萌太奇:	!~诺玛 还差多少?
百撕不得骑姐:	!~武器是双倍一直都是的
紫霞:	@日志
人生如梦:	!~  不是的  我在绿洲杀怪  开始没入会 想着如了会经验高50%
老倪:	我们刚才杀的
老倪:	还没更新
百撕不得骑姐:	!~38级以后砍祖马了
紫霞:	!!没绿毒。。。
人生如梦:	!~  开始我17级升到24级都是提升3倍  绿洲杀一个怪4000经验 1倍是1000  提升3倍就是4000
百撕不得骑姐:	!~到了45砍真天
人生如梦:	!~  然后我入会了 小腿了一下
人生如梦:	....
萌太奇:	!~....
萌太奇:	...
人生如梦:	!~  就只有提升2倍了 加上领地的50%  2.5倍  
萌太奇:	!~实验过了   传送圣连  是 一次性的
人生如梦:	!~  现在杀一个怪只有 3500
萌太奇:	!~你 带着 宝宝 为什么 不去 猪洞 或者牛洞升级呢
萌太奇:	!~杀 什么 外面的怪
人生如梦:	!~  绿洲好玩,地大怪少 一个一个打 有意思得很
老倪:	给小号
紫霞:	丫丫的
百撕不得骑姐:	!~给我打个加准的夏普儿手镯
紫霞:	太小气了
老倪:	呵呵呵
紫霞:	回吧
紫霞:	@骑马
老倪:	@骑马
人生如梦:	!~  祝福我吧
老倪:	/紫霞 什么时候开船?
紫霞:	/老倪 我看看
紫霞:	/老倪 别想了，还2小时
老倪:	/紫霞 现在就开了
老倪:	/紫霞 哦
人生如梦:	!~  百思 我重新练个号来追你 
老倪:	/紫霞 1点零五分
紫霞:	/老倪 嗯哪
萌太奇:	!~.... 家准的 夏普 我也一只想要 都没有
百撕不得骑姐:	!~弄个女法来可以有.
老倪:	/紫霞 现在去哪里?
百撕不得骑姐:	!~等我有了连月.我自己去打两天看能打到不
萌太奇:	!~打门票去把
人生如梦:	!~  你先来带我到20级啊  来银杏
紫霞:	/老倪 打钥匙？
老倪:	/紫霞 可以
紫霞:	/老倪 走起
紫霞:	!!太奇
紫霞:	!!人呢
萌太奇:	!!在的
人生如梦:	!~  不打  那玩意 不是我现在玩的
紫霞:	!!打钥匙去
萌太奇:	!!在的
萌太奇:	!!走
紫霞:	!!你小号在那？
百撕不得骑姐:	@骑马
萌太奇:	!!我的 传送点 一只在地下2
百撕不得骑姐:	!~到银杏了,
萌太奇:	@包马
紫霞:	!!你小号叫什么
紫霞:	!!我飞过去
百撕不得骑姐:	!~叫人送个好点的戒指啊
百撕不得骑姐:	@包马
萌太奇:	!!叫
紫霞:	!!你直接飞过去
萌太奇:	!!茉莉毒茶
紫霞:	!!我打你的名字
紫霞:	!!准备好来
萌太奇:	!!我也在了
萌太奇:	!!你们  飞我吧
百撕不得骑姐:	我有盾一本
萌太奇:	!!老倪
紫霞:	!!老倪，直接飞过去吧
萌太奇:	!!飞来
人生如梦:	==我 换个号 我有连岳
老倪:	!!好
人生如梦:	秘籍
百撕不得骑姐:	我也有啊
人生如梦:	哦
紫霞:	@骑马
百撕不得骑姐:	还差向空
萌太奇:	!!有 这东西也 不错啊 
萌太奇:	@骑马
百撕不得骑姐:	@骑马
紫霞:	!!老倪，哪里
萌太奇:	!!我都 准备好了
百撕不得骑姐:	我给你个10的
紫霞:	!!速度来呀
紫霞:	!!我们进来了
百撕不得骑姐:	开组
百撕不得骑姐:	开组
如梦人生:	组
百撕不得骑姐:	开组啊,
萌太奇:	!~ 小号打到了 首饰  都捡着  卖道观商店啊
百撕不得骑姐:	!~打书的地吧
百撕不得骑姐:	!!毒蛇吧,打书
如梦人生:	==
如梦人生:	@加入行会
如梦人生:	@拒绝回生术
如梦人生:	@拒绝交易
如梦人生:	@拒绝所有人聊天
如梦人生:	@拒绝私聊
如梦人生:	@拒绝行会聊天
如梦人生:	@允许全服聊天
如梦人生:	老大叫啥?
如梦人生:	我M 他收我入会
百撕不得骑姐:	小兔子
如梦人生:	另外一个
百撕不得骑姐:	@日志4
百撕不得骑姐:	紫霞
紫霞:	!!老倪
如梦人生:	/紫霞 收我入会
紫霞:	!!等下你换个戒指
老倪:	!!
紫霞:	!!换个火龙马
紫霞:	!!比你现在的哈用
如梦人生:	!!等他收了我 我小退一下 就去毒蛇
如梦人生:	/紫霞 
百撕不得骑姐:	!!好
紫霞:	@添加成员
百撕不得骑姐:	@包马
老倪:	!!区别不大
紫霞:	!!多2点自然，你凝血加的多
百撕不得骑姐:	!!
如梦人生:	OK  5.5倍
萌太奇:	!!进
百撕不得骑姐:	!!走]
紫霞:	!!其实相差很大的，我多10点道术，就能多打50点血
萌太奇:	!!进
紫霞:	!!老倪，你项链。。。。。
紫霞:	!!先打吧
萌太奇:	!!我躺了
如梦人生:	@休息
如梦人生:	@休息
如梦人生:	!!  我分太少了 我先自己打几个怪
百撕不得骑姐:	!!级高就分得多了
百撕不得骑姐:	!!来嘛,慢慢就分的多了
如梦人生:	!!  马上就到
萌太奇:	@骑马
如梦人生:	!!  真是不会减少经验的
如梦人生:	!!  1级是2600 一个  现在还是2600一个 
百撕不得骑姐:	!!你想太多了
如梦人生:	!!  我17级了
百撕不得骑姐:	!!我才1200
萌太奇:	@卡位自救
紫霞:	@卡位自救
紫霞:	!!你俩分开打
紫霞:	!!一人打一个
百撕不得骑姐:	!!这里的BOSS没打
紫霞:	!!老倪你打上面的
如梦人生:	!!找尸王?
百撕不得骑姐:	!!就在这打吧,
如梦人生:	666
如梦人生:	@休息
如梦人生:	!!一人一边找 还是一起?
百撕不得骑姐:	!!随便
百撕不得骑姐:	!!在这
如梦人生:	@休息
百撕不得骑姐:	!!有冰沙吗?
如梦人生:	!!肯定没啊  不然我刚才就去牛了
百撕不得骑姐:	!!我今天打好几本没捡
紫霞:	!!等下老倪打一个
紫霞:	!!战士打一个
萌太奇:	enen  
萌太奇:	嗯嗯 
紫霞:	!!战士那个老倪你不能去打
紫霞:	!!不然战士打不中
如梦人生:	!!==
百撕不得骑姐:	!!下一层吧,
百撕不得骑姐:	!!这的打了.
如梦人生:	!!  定你宝宝 你别打怪
百撕不得骑姐:	@休息
如梦人生:	你多少经验?
百撕不得骑姐:	1000
百撕不得骑姐:	@休息
如梦人生:	我打出来的怪经验多 还是你打出来的怪经验多
如梦人生:	!!  一样的
如梦人生:	!!  我都是1200-1300
萌太奇:	@卡位自救
萌太奇:	!!老倪 停手
如梦人生:	@休息
如梦人生:	@休息
如梦人生:	@休息
如梦人生:	@休息
百撕不得骑姐:	!!
如梦人生:	@休息
如梦人生:	@休息
紫霞:	!!老倪，来个怒神霹雳
紫霞:	!!引怪用
如梦人生:	@日志3
如梦人生:	可以学地狱火了
紫霞:	!!买药去
萌太奇:	!!我也要回去
萌太奇:	@骑马
百撕不得骑姐:	!!我掉下来了
老倪:	@日志3
如梦人生:	!!失望的?
如梦人生:	!!尸王殿?
百撕不得骑姐:	!!是的
紫霞:	@骑马
老倪:	@日志
老倪:	@日志
老倪:	@日志
老倪:	@日志
老倪:	@日志
如梦人生:	!!上线还在这?
百撕不得骑姐:	!!没有,我飞来的
如梦人生:	!!  哦 25级就可以杀尸王殿了  地狱火搞到3级
紫霞:	!!继续？
萌太奇:	!!我们都到门口了
百撕不得骑姐:	!!20就可以了.
紫霞:	!!。。
老倪:	!!en
萌太奇:	!!就你  墨迹
百撕不得骑姐:	!!就是打得慢点.用地火打
紫霞:	!!蛋疼，我累个去
百撕不得骑姐:	!!不要放火枪
如梦人生:	!!  好吧 我先回去学  但是只有一本 看失败不
百撕不得骑姐:	!!22有不
如梦人生:	!!22了
百撕不得骑姐:	!!可以嫁人了
如梦人生:	!!额.....  你这心思不纯洁
百撕不得骑姐:	!!我怎么不纯洁啊,
如梦人生:	!!  走吧
百撕不得骑姐:	!!冰书没有啊
如梦人生:	!!  没有
百撕不得骑姐:	!!还有王没杀
紫霞:	!!这一次打的够快啊
如梦人生:	!!  我去把地狱火学了去趟尸王殿 
百撕不得骑姐:	!!从这边打回去
百撕不得骑姐:	!!那回吧
百撕不得骑姐:	@骑马
紫霞:	!!秒隐太费兰了
紫霞:	!!一个技能200点蓝
百撕不得骑姐:	@日志2
紫霞:	!!老倪呢
萌太奇:	!! 你才
百撕不得骑姐:	!!外面的也要打.比奇也有
紫霞:	@复活回城
百撕不得骑姐:	!!人呢?给你盾书.
萌太奇:	@复活回城
紫霞:	!!老倪你刚才在里面？
如梦人生:	!!毒蛇啊
百撕不得骑姐:	你没 去写书啊
如梦人生:	学了
百撕不得骑姐:	先结婚吧.
萌太奇:	!!我卡了 一下 直接 就死
百撕不得骑姐:	一会我要睡了
如梦人生:	好
百撕不得骑姐:	@包马
老倪:	!!我在地天家
百撕不得骑姐:	!!我在这等你
紫霞:	!!卧槽
如梦人生:	!!  在皇宫么 不是
百撕不得骑姐:	!!不是
老倪:	!!门口倒是清安全了
百撕不得骑姐:	!!在马棚上面
紫霞:	!!打不了
老倪:	怪不多
紫霞:	!!战士别进来
如梦人生:	!!  你他看一下呢
如梦人生:	!!  你点下试试呢
老倪:	!!怪不多
紫霞:	!!不是怪不多，而是boss会加血
百撕不得骑姐:	!!在皇宫结婚的.我晕了.
百撕不得骑姐:	!!我在里面了
如梦人生:	@休息
百撕不得骑姐:	该你了
老倪:	!!进来试试
紫霞:	!!等1点大黄改了咱再打
老倪:	!!哦
萌太奇:	@骑马
百撕不得骑姐:	是
老倪:	!!那我出来?
如梦人生:	是
紫霞:	!!嗯哪
萌太奇:	!!我先买了 升武器的 首饰 再说
百撕不得骑姐:	@骑马
如梦人生:	@骑马
百撕不得骑姐:	!!你打书去吧.
如梦人生:	!!  你不给我守门?
老倪:	!!教主家有卡位吗?
紫霞:	!!没
百撕不得骑姐:	!!不用守啊,没人去的
如梦人生:	!!  万一死了呢
百撕不得骑姐:	!!我今天掉下去N次了
百撕不得骑姐:	!!买个随机,进去后飞一下
老倪:	!!我出来了
紫霞:	!!我在打钥匙这里
百撕不得骑姐:	@包马
萌太奇:	!~ 组起
如梦人生:	!!  你组他
如梦人生:	!!你下了?
百撕不得骑姐:	!!没有啊,
如梦人生:	!!  哦 
如梦人生:	!!  你现在干嘛?
百撕不得骑姐:	@日志2
如梦人生:	!!  要不买本冰沙 去冰牛去
百撕不得骑姐:	@日志2
百撕不得骑姐:	!!多少钱一本.
百撕不得骑姐:	@骑马
如梦人生:	!!100
百撕不得骑姐:	!!不要.
百撕不得骑姐:	!!自己打吧.
百撕不得骑姐:	!!我去打一本来
如梦人生:	@休息
